Order Number,Customer ID,Service Type,Order Date,Order Time,Beef Taco Qty,Chicken Taco Qty,Veggie Taco Qty,Nachos Qty,Tortilla Qty,Rice Beans Qty,Dr Pepper Qty,Spk Water Qty,Pepsi Qty,Pacifico Qty,Total Cost,Order Complete,Time complete,Employee,Payment Method
10001,4630095,Delivery,4/18/20,21:42,0,3,0,0,1,0,0,0,1,0,16.5,TRUE,21:47,Draco Malfoy,Visa
10002,4834922,Dine in,4/18/20,21:43,3,1,0,1,0,0,0,2,0,0,24.75,TRUE,21:49,Sirius Black,Amex
10003,3826329,Delivery,4/18/20,20:23,0,2,1,1,0,0,0,0,0,1,22,TRUE,20:31,Ginny Weasley,Visa
10004,6531002,Dine in,4/18/20,19:45,3,0,0,0,0,0,0,1,0,1,16,TRUE,19:56,Draco Malfoy,Cash
10005,7399489,Dine in,4/18/20,18:15,1,0,0,0,0,0,1,1,1,0,11.25,TRUE,18:28,Dobby Elf,MasterCard
10006,5726971,Dine in,4/19/20,15:46,0,3,0,0,0,0,0,0,0,0,10.5,TRUE,15:55,Draco Malfoy,Discovery
10001,4630095,Delivery,4/18/20,21:42,0,3,0,0,1,0,0,0,1,0,16.5,TRUE,21:46,employeeName goes here,Visa
10001,4630095,Delivery,4/18/20,21:42,0,3,0,0,1,0,0,0,1,0,16.5,TRUE,21:49,employeeName goes here,Visa
10001,4630095,Delivery,4/18/20,21:42,0,3,0,0,1,0,0,0,1,0,16.5,true,21:45,employeeName goes here,Discovery
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:28,employeeName goes here,Discovery
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:30,employeeName goes here,Discovery
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:30,employeeName goes here,Visa
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:31,employeeName goes here,Cash
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:31,employeeName goes here,Visa
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:31,employeeName goes here,Visa
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:30,employeeName goes here,Discovery
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:28,employeeName goes here,Amex
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:30,employeeName goes here,Cash
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:32,employeeName goes here,Amex
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:30,employeeName goes here,Visa
10038,1064137,Dine in,2020/04/24,16:25,3,2,1,1,3,2,0,2,1,0,14.25,true,16:30,employeeName goes here,MasterCard
10037,8036179,Dine in,2020/04/23,10:27,2,0,0,0,0,0,0,0,0,0,1.9,true,10:32,employeeName goes here,Cash
10037,8036179,Dine in,2020/04/23,10:27,2,0,0,0,0,0,0,0,0,0,1.9,true,10:33,employeeName goes here,Visa
10037,8036179,Dine in,2020/04/23,10:27,2,0,0,0,0,0,0,0,0,0,1.9,true,10:31,employeeName goes here,Visa
10037,8036179,Dine in,2020/04/23,10:27,2,0,0,0,0,0,0,0,0,0,1.9,true,10:34,employeeName goes here,Amex
10037,8036179,Dine in,2020/04/23,10:27,2,0,0,0,0,0,0,0,0,0,1.9,true,10:33,employeeName goes here,MasterCard
10037,8036179,Dine in,2020/04/23,10:27,2,0,0,0,0,0,0,0,0,0,1.9,true,10:32,employeeName goes here,Cash
10037,8036179,Dine in,2020/04/23,10:27,2,0,0,0,0,0,0,0,0,0,1.9,true,10:32,employeeName goes here,MasterCard
10037,8036179,Dine in,2020/04/23,10:27,2,0,0,0,0,0,0,0,0,0,1.9,true,10:34,employeeName goes here,Visa
10037,8036179,Dine in,2020/04/23,10:27,2,0,0,0,0,0,0,0,0,0,1.9,true,10:33,employeeName goes here,Cash
10038,6345048,Delivery,2020/04/25,12:34,3,2,0,0,0,0,0,2,0,0,22.25,true,12:39,employeeName goes here,Cash
10038,6345048,Delivery,2020/04/25,12:34,3,2,0,0,0,0,0,2,0,0,22.25,true,12:39,employeeName goes here,MasterCard
10039,736166,Dine in,2020/04/25,12:48,0,3,0,1,0,0,0,0,2,0,22.7,true,12:53,employeeName goes here,Discovery
10039,736166,Dine in,2020/04/25,12:48,0,3,0,1,0,0,0,0,2,0,22.7,true,12:53,employeeName goes here,Amex
10040,7731491,Dine in,2020/04/25,13:12,1,0,1,0,1,1,2,0,0,2,25.25,true,13:18,employeeName goes here,Discovery
10040,7731491,Dine in,2020/04/25,13:12,1,0,1,0,1,1,2,0,0,2,25.25,true,13:15,employeeName goes here,MasterCard
10041,632228,Dine in,2020/04/25,13:28,0,0,0,0,0,0,2,2,2,2,23.5,true,13:35,employeeName goes here,MasterCard
10041,632228,Dine in,2020/04/25,13:28,0,0,0,0,0,0,2,2,2,2,23.5,true,13:33,employeeName goes here,Discovery